month,total.total
2001-01-01T00:00:00.000Z,0
2001-02-01T00:00:00.000Z,0
2001-03-01T00:00:00.000Z,0
2001-04-01T00:00:00.000Z,0
2001-05-01T00:00:00.000Z,0
2001-06-01T00:00:00.000Z,0
2001-07-01T00:00:00.000Z,0
2001-08-01T00:00:00.000Z,0
2001-09-01T00:00:00.000Z,0
2001-10-01T00:00:00.000Z,0
2001-11-01T00:00:00.000Z,0
2001-12-01T00:00:00.000Z,0
2002-01-01T00:00:00.000Z,0
2002-02-01T00:00:00.000Z,0
2002-03-01T00:00:00.000Z,0
2002-04-01T00:00:00.000Z,0
2002-05-01T00:00:00.000Z,0
2002-06-01T00:00:00.000Z,0
2002-07-01T00:00:00.000Z,0
2002-08-01T00:00:00.000Z,0
2002-09-01T00:00:00.000Z,0
2002-10-01T00:00:00.000Z,0
2002-11-01T00:00:00.000Z,0
2002-12-01T00:00:00.000Z,0
2003-01-01T00:00:00.000Z,0
2003-02-01T00:00:00.000Z,0
2003-03-01T00:00:00.000Z,0
2003-04-01T00:00:00.000Z,0
2003-05-01T00:00:00.000Z,0
2003-06-01T00:00:00.000Z,0
2003-07-01T00:00:00.000Z,0
2003-08-01T00:00:00.000Z,0
2003-09-01T00:00:00.000Z,0
2003-10-01T00:00:00.000Z,0
2003-11-01T00:00:00.000Z,0
2003-12-01T00:00:00.000Z,0
2004-01-01T00:00:00.000Z,4
2004-02-01T00:00:00.000Z,5
2004-03-01T00:00:00.000Z,6
2004-04-01T00:00:00.000Z,10
2004-05-01T00:00:00.000Z,183
2004-06-01T00:00:00.000Z,191
2004-07-01T00:00:00.000Z,193
2004-08-01T00:00:00.000Z,196
2004-09-01T00:00:00.000Z,200
2004-10-01T00:00:00.000Z,205
2004-11-01T00:00:00.000Z,219
2004-12-01T00:00:00.000Z,257
2005-01-01T00:00:00.000Z,259
2005-02-01T00:00:00.000Z,481
2005-03-01T00:00:00.000Z,601
2005-04-01T00:00:00.000Z,611
2005-05-01T00:00:00.000Z,624
2005-06-01T00:00:00.000Z,638
2005-07-01T00:00:00.000Z,692
2005-08-01T00:00:00.000Z,697
2005-09-01T00:00:00.000Z,717
2005-10-01T00:00:00.000Z,733
2005-11-01T00:00:00.000Z,778
2005-12-01T00:00:00.000Z,795
2006-01-01T00:00:00.000Z,819
2006-02-01T00:00:00.000Z,843
2006-03-01T00:00:00.000Z,989
2006-04-01T00:00:00.000Z,1980
2006-05-01T00:00:00.000Z,2625
2006-06-01T00:00:00.000Z,4292
2006-07-01T00:00:00.000Z,6212
2006-08-01T00:00:00.000Z,9096
2006-09-01T00:00:00.000Z,15863
2006-10-01T00:00:00.000Z,18614
2006-11-01T00:00:00.000Z,19276
2006-12-01T00:00:00.000Z,19760
2007-01-01T00:00:00.000Z,21738
2007-02-01T00:00:00.000Z,22476
2007-03-01T00:00:00.000Z,22856
2007-04-01T00:00:00.000Z,35165
2007-05-01T00:00:00.000Z,35648
2007-06-01T00:00:00.000Z,36296
2007-07-01T00:00:00.000Z,36616
2007-08-01T00:00:00.000Z,37021
2007-09-01T00:00:00.000Z,38105
2007-10-01T00:00:00.000Z,38783
2007-11-01T00:00:00.000Z,39859
2007-12-01T00:00:00.000Z,40380
2008-01-01T00:00:00.000Z,41439
2008-02-01T00:00:00.000Z,41867
2008-03-01T00:00:00.000Z,42447
2008-04-01T00:00:00.000Z,42942
2008-05-01T00:00:00.000Z,43454
2008-06-01T00:00:00.000Z,43821
2008-07-01T00:00:00.000Z,44448
2008-08-01T00:00:00.000Z,45158
2008-09-01T00:00:00.000Z,45473
2008-10-01T00:00:00.000Z,45774
2008-11-01T00:00:00.000Z,46450
2008-12-01T00:00:00.000Z,47260
2009-01-01T00:00:00.000Z,47760
2009-02-01T00:00:00.000Z,48385
2009-03-01T00:00:00.000Z,48809
2009-04-01T00:00:00.000Z,49062
2009-05-01T00:00:00.000Z,49695
2009-06-01T00:00:00.000Z,50664
2009-07-01T00:00:00.000Z,50989
2009-08-01T00:00:00.000Z,51910
2009-09-01T00:00:00.000Z,52581
2009-10-01T00:00:00.000Z,53317
2009-11-01T00:00:00.000Z,54185
2009-12-01T00:00:00.000Z,55063
2010-01-01T00:00:00.000Z,62800
2010-02-01T00:00:00.000Z,64029
2010-03-01T00:00:00.000Z,65035
2010-04-01T00:00:00.000Z,65791
2010-05-01T00:00:00.000Z,66251
2010-06-01T00:00:00.000Z,67220
2010-07-01T00:00:00.000Z,67934
2010-08-01T00:00:00.000Z,68660
2010-09-01T00:00:00.000Z,70226
2010-10-01T00:00:00.000Z,70941
2010-11-01T00:00:00.000Z,71728
2010-12-01T00:00:00.000Z,72363
2011-01-01T00:00:00.000Z,73451
2011-02-01T00:00:00.000Z,74351
2011-03-01T00:00:00.000Z,74899
2011-04-01T00:00:00.000Z,75579
2011-05-01T00:00:00.000Z,76333
2011-06-01T00:00:00.000Z,76877
2011-07-01T00:00:00.000Z,77523
2011-08-01T00:00:00.000Z,78687
2011-09-01T00:00:00.000Z,79687
2011-10-01T00:00:00.000Z,81099
2011-11-01T00:00:00.000Z,82464
2011-12-01T00:00:00.000Z,84171
2012-01-01T00:00:00.000Z,85958
2012-02-01T00:00:00.000Z,87730
2012-03-01T00:00:00.000Z,89903
2012-04-01T00:00:00.000Z,91914
2012-05-01T00:00:00.000Z,93726
2012-06-01T00:00:00.000Z,95625
2012-07-01T00:00:00.000Z,97947
2012-08-01T00:00:00.000Z,100159
2012-09-01T00:00:00.000Z,101815
2012-10-01T00:00:00.000Z,103570
2012-11-01T00:00:00.000Z,105507
2012-12-01T00:00:00.000Z,107315
2013-01-01T00:00:00.000Z,109582
2013-02-01T00:00:00.000Z,111464
2013-03-01T00:00:00.000Z,113536
2013-04-01T00:00:00.000Z,115084
2013-05-01T00:00:00.000Z,117440
2013-06-01T00:00:00.000Z,120070
2013-07-01T00:00:00.000Z,123160
2013-08-01T00:00:00.000Z,125855
2013-09-01T00:00:00.000Z,128953
2013-10-01T00:00:00.000Z,131995
2013-11-01T00:00:00.000Z,135261
2013-12-01T00:00:00.000Z,139091
2014-01-01T00:00:00.000Z,142351
2014-02-01T00:00:00.000Z,145241
2014-03-01T00:00:00.000Z,149278
2014-04-01T00:00:00.000Z,153317
2014-05-01T00:00:00.000Z,157230
2014-06-01T00:00:00.000Z,160759
2014-07-01T00:00:00.000Z,164902
2014-08-01T00:00:00.000Z,169042
2014-09-01T00:00:00.000Z,172253
2014-10-01T00:00:00.000Z,175687
2014-11-01T00:00:00.000Z,179477
2014-12-01T00:00:00.000Z,183061
2015-01-01T00:00:00.000Z,187327
2015-02-01T00:00:00.000Z,191884
2015-03-01T00:00:00.000Z,199897
2015-04-01T00:00:00.000Z,204542
2015-05-01T00:00:00.000Z,208329
2015-06-01T00:00:00.000Z,212490
2015-07-01T00:00:00.000Z,216558
2015-08-01T00:00:00.000Z,220914
2015-09-01T00:00:00.000Z,225641
2015-10-01T00:00:00.000Z,229556
2015-11-01T00:00:00.000Z,234949
2015-12-01T00:00:00.000Z,240697
2016-01-01T00:00:00.000Z,245255
2016-02-01T00:00:00.000Z,249145
2016-03-01T00:00:00.000Z,253204
2016-04-01T00:00:00.000Z,256961
2016-05-01T00:00:00.000Z,260372
2016-06-01T00:00:00.000Z,263804
2016-07-01T00:00:00.000Z,267384
2016-08-01T00:00:00.000Z,271635
2016-09-01T00:00:00.000Z,275899
2016-10-01T00:00:00.000Z,280344
2016-11-01T00:00:00.000Z,285399
2016-12-01T00:00:00.000Z,291294
2017-01-01T00:00:00.000Z,297409
2017-02-01T00:00:00.000Z,305928
2017-03-01T00:00:00.000Z,312824
2017-04-01T00:00:00.000Z,317510
2017-05-01T00:00:00.000Z,322020
2017-06-01T00:00:00.000Z,325483
2017-07-01T00:00:00.000Z,329106
2017-08-01T00:00:00.000Z,333419
2017-09-01T00:00:00.000Z,338331
2017-10-01T00:00:00.000Z,342708
2017-11-01T00:00:00.000Z,348912
2017-12-01T00:00:00.000Z,354274
2018-01-01T00:00:00.000Z,360419
2018-02-01T00:00:00.000Z,369295
2018-03-01T00:00:00.000Z,375017
2018-04-01T00:00:00.000Z,380248
2018-05-01T00:00:00.000Z,385922
2018-06-01T00:00:00.000Z,390312
2018-07-01T00:00:00.000Z,396012
2018-08-01T00:00:00.000Z,403695
2018-09-01T00:00:00.000Z,410532
2018-10-01T00:00:00.000Z,417425
2018-11-01T00:00:00.000Z,423807
2018-12-01T00:00:00.000Z,429963
2019-01-01T00:00:00.000Z,436532
2019-02-01T00:00:00.000Z,441737
