month,total.total
2001-01-01T00:00:00.000Z,55
2001-02-01T00:00:00.000Z,203
2001-03-01T00:00:00.000Z,704
2001-04-01T00:00:00.000Z,1305
2001-05-01T00:00:00.000Z,2582
2001-06-01T00:00:00.000Z,3059
2001-07-01T00:00:00.000Z,4050
2001-08-01T00:00:00.000Z,5921
2001-09-01T00:00:00.000Z,9081
2001-10-01T00:00:00.000Z,13893
2001-11-01T00:00:00.000Z,17321
2001-12-01T00:00:00.000Z,19705
2002-01-01T00:00:00.000Z,21537
2002-02-01T00:00:00.000Z,29895
2002-03-01T00:00:00.000Z,33046
2002-04-01T00:00:00.000Z,35458
2002-05-01T00:00:00.000Z,37494
2002-06-01T00:00:00.000Z,40909
2002-07-01T00:00:00.000Z,44404
2002-08-01T00:00:00.000Z,50357
2002-09-01T00:00:00.000Z,61581
2002-10-01T00:00:00.000Z,101400
2002-11-01T00:00:00.000Z,107839
2002-12-01T00:00:00.000Z,113578
2003-01-01T00:00:00.000Z,121589
2003-02-01T00:00:00.000Z,128302
2003-03-01T00:00:00.000Z,135263
2003-04-01T00:00:00.000Z,142408
2003-05-01T00:00:00.000Z,151145
2003-06-01T00:00:00.000Z,159657
2003-07-01T00:00:00.000Z,174299
2003-08-01T00:00:00.000Z,184860
2003-09-01T00:00:00.000Z,195888
2003-10-01T00:00:00.000Z,205599
2003-11-01T00:00:00.000Z,217924
2003-12-01T00:00:00.000Z,232539
2004-01-01T00:00:00.000Z,247711
2004-02-01T00:00:00.000Z,269364
2004-03-01T00:00:00.000Z,299650
2004-04-01T00:00:00.000Z,325991
2004-05-01T00:00:00.000Z,352659
2004-06-01T00:00:00.000Z,383335
2004-07-01T00:00:00.000Z,415572
2004-08-01T00:00:00.000Z,451981
2004-09-01T00:00:00.000Z,488502
2004-10-01T00:00:00.000Z,529495
2004-11-01T00:00:00.000Z,577836
2004-12-01T00:00:00.000Z,626341
2005-01-01T00:00:00.000Z,666737
2005-02-01T00:00:00.000Z,705432
2005-03-01T00:00:00.000Z,756045
2005-04-01T00:00:00.000Z,815689
2005-05-01T00:00:00.000Z,874769
2005-06-01T00:00:00.000Z,940464
2005-07-01T00:00:00.000Z,1022697
2005-08-01T00:00:00.000Z,1114361
2005-09-01T00:00:00.000Z,1195632
2005-10-01T00:00:00.000Z,1296315
2005-11-01T00:00:00.000Z,1390087
2005-12-01T00:00:00.000Z,1517990
2006-01-01T00:00:00.000Z,1666887
2006-02-01T00:00:00.000Z,1811236
2006-03-01T00:00:00.000Z,1969728
2006-04-01T00:00:00.000Z,2137777
2006-05-01T00:00:00.000Z,2315294
2006-06-01T00:00:00.000Z,2497269
2006-07-01T00:00:00.000Z,2691040
2006-08-01T00:00:00.000Z,3012519
2006-09-01T00:00:00.000Z,3221545
2006-10-01T00:00:00.000Z,3451962
2006-11-01T00:00:00.000Z,3681166
2006-12-01T00:00:00.000Z,3906870
2007-01-01T00:00:00.000Z,4173077
2007-02-01T00:00:00.000Z,4444978
2007-03-01T00:00:00.000Z,4766658
2007-04-01T00:00:00.000Z,5083578
2007-05-01T00:00:00.000Z,5345790
2007-06-01T00:00:00.000Z,5592334
2007-07-01T00:00:00.000Z,5858826
2007-08-01T00:00:00.000Z,6112272
2007-09-01T00:00:00.000Z,6361161
2007-10-01T00:00:00.000Z,6624388
2007-11-01T00:00:00.000Z,6869591
2007-12-01T00:00:00.000Z,7127676
