month,total.total
2001-01-01T00:00:00.000Z,0
2001-02-01T00:00:00.000Z,0
2001-03-01T00:00:00.000Z,0
2001-04-01T00:00:00.000Z,0
2001-05-01T00:00:00.000Z,0
2001-06-01T00:00:00.000Z,0
2001-07-01T00:00:00.000Z,0
2001-08-01T00:00:00.000Z,1
2001-09-01T00:00:00.000Z,1
2001-10-01T00:00:00.000Z,1
2001-11-01T00:00:00.000Z,2
2001-12-01T00:00:00.000Z,2
2002-01-01T00:00:00.000Z,2
2002-02-01T00:00:00.000Z,2
2002-03-01T00:00:00.000Z,2
2002-04-01T00:00:00.000Z,2
2002-05-01T00:00:00.000Z,2
2002-06-01T00:00:00.000Z,2
2002-07-01T00:00:00.000Z,2
2002-08-01T00:00:00.000Z,2
2002-09-01T00:00:00.000Z,2
2002-10-01T00:00:00.000Z,2
2002-11-01T00:00:00.000Z,2
2002-12-01T00:00:00.000Z,3
2003-01-01T00:00:00.000Z,3
2003-02-01T00:00:00.000Z,3
2003-03-01T00:00:00.000Z,3
2003-04-01T00:00:00.000Z,3
2003-05-01T00:00:00.000Z,3
2003-06-01T00:00:00.000Z,3
2003-07-01T00:00:00.000Z,22
2003-08-01T00:00:00.000Z,54
2003-09-01T00:00:00.000Z,57
2003-10-01T00:00:00.000Z,57
2003-11-01T00:00:00.000Z,57
2003-12-01T00:00:00.000Z,114
2004-01-01T00:00:00.000Z,117
2004-02-01T00:00:00.000Z,183
2004-03-01T00:00:00.000Z,193
2004-04-01T00:00:00.000Z,200
2004-05-01T00:00:00.000Z,319
2004-06-01T00:00:00.000Z,346
2004-07-01T00:00:00.000Z,370
2004-08-01T00:00:00.000Z,398
2004-09-01T00:00:00.000Z,416
2004-10-01T00:00:00.000Z,458
2004-11-01T00:00:00.000Z,480
2004-12-01T00:00:00.000Z,701
2005-01-01T00:00:00.000Z,1114
2005-02-01T00:00:00.000Z,1218
2005-03-01T00:00:00.000Z,1269
2005-04-01T00:00:00.000Z,1309
2005-05-01T00:00:00.000Z,1375
2005-06-01T00:00:00.000Z,1407
2005-07-01T00:00:00.000Z,1455
2005-08-01T00:00:00.000Z,1488
2005-09-01T00:00:00.000Z,1512
2005-10-01T00:00:00.000Z,1534
2005-11-01T00:00:00.000Z,1565
2005-12-01T00:00:00.000Z,1623
2006-01-01T00:00:00.000Z,1707
2006-02-01T00:00:00.000Z,1818
2006-03-01T00:00:00.000Z,2095
2006-04-01T00:00:00.000Z,2165
2006-05-01T00:00:00.000Z,2262
2006-06-01T00:00:00.000Z,2482
2006-07-01T00:00:00.000Z,2647
2006-08-01T00:00:00.000Z,2849
2006-09-01T00:00:00.000Z,3619
2006-10-01T00:00:00.000Z,4566
2006-11-01T00:00:00.000Z,5520
2006-12-01T00:00:00.000Z,5961
2007-01-01T00:00:00.000Z,7600
2007-02-01T00:00:00.000Z,9051
2007-03-01T00:00:00.000Z,11894
2007-04-01T00:00:00.000Z,12580
2007-05-01T00:00:00.000Z,15174
2007-06-01T00:00:00.000Z,16248
2007-07-01T00:00:00.000Z,16946
2007-08-01T00:00:00.000Z,17910
2007-09-01T00:00:00.000Z,18637
2007-10-01T00:00:00.000Z,19420
2007-11-01T00:00:00.000Z,20394
2007-12-01T00:00:00.000Z,21087
2008-01-01T00:00:00.000Z,22288
2008-02-01T00:00:00.000Z,23583
2008-03-01T00:00:00.000Z,25024
2008-04-01T00:00:00.000Z,26631
2008-05-01T00:00:00.000Z,29000
2008-06-01T00:00:00.000Z,29816
2008-07-01T00:00:00.000Z,30771
2008-08-01T00:00:00.000Z,31457
2008-09-01T00:00:00.000Z,32225
2008-10-01T00:00:00.000Z,33390
2008-11-01T00:00:00.000Z,35207
2008-12-01T00:00:00.000Z,37833
2009-01-01T00:00:00.000Z,41076
2009-02-01T00:00:00.000Z,43872
2009-03-01T00:00:00.000Z,48885
2009-04-01T00:00:00.000Z,51609
2009-05-01T00:00:00.000Z,62343
2009-06-01T00:00:00.000Z,74013
2009-07-01T00:00:00.000Z,76116
2009-08-01T00:00:00.000Z,115477
2009-09-01T00:00:00.000Z,132115
2009-10-01T00:00:00.000Z,134082
2009-11-01T00:00:00.000Z,145676
2009-12-01T00:00:00.000Z,147672
2010-01-01T00:00:00.000Z,149433
2010-02-01T00:00:00.000Z,150902
2010-03-01T00:00:00.000Z,153080
2010-04-01T00:00:00.000Z,153824
2010-05-01T00:00:00.000Z,155083
2010-06-01T00:00:00.000Z,156899
2010-07-01T00:00:00.000Z,173642
2010-08-01T00:00:00.000Z,175695
2010-09-01T00:00:00.000Z,178667
2010-10-01T00:00:00.000Z,179986
2010-11-01T00:00:00.000Z,180849
2010-12-01T00:00:00.000Z,182468
2011-01-01T00:00:00.000Z,189500
2011-02-01T00:00:00.000Z,190478
2011-03-01T00:00:00.000Z,226963
2011-04-01T00:00:00.000Z,261953
2011-05-01T00:00:00.000Z,263518
2011-06-01T00:00:00.000Z,266312
2011-07-01T00:00:00.000Z,271274
2011-08-01T00:00:00.000Z,274519
2011-09-01T00:00:00.000Z,277269
2011-10-01T00:00:00.000Z,280040
2011-11-01T00:00:00.000Z,282671
2011-12-01T00:00:00.000Z,285531
2012-01-01T00:00:00.000Z,288983
2012-02-01T00:00:00.000Z,291838
2012-03-01T00:00:00.000Z,294408
2012-04-01T00:00:00.000Z,296589
2012-05-01T00:00:00.000Z,298698
2012-06-01T00:00:00.000Z,301121
2012-07-01T00:00:00.000Z,303819
2012-08-01T00:00:00.000Z,306657
2012-09-01T00:00:00.000Z,309437
2012-10-01T00:00:00.000Z,312224
2012-11-01T00:00:00.000Z,315030
2012-12-01T00:00:00.000Z,317396
2013-01-01T00:00:00.000Z,319712
2013-02-01T00:00:00.000Z,321956
2013-03-01T00:00:00.000Z,324252
2013-04-01T00:00:00.000Z,326809
2013-05-01T00:00:00.000Z,329727
2013-06-01T00:00:00.000Z,332110
2013-07-01T00:00:00.000Z,335842
2013-08-01T00:00:00.000Z,339157
2013-09-01T00:00:00.000Z,342293
2013-10-01T00:00:00.000Z,346254
2013-11-01T00:00:00.000Z,350183
2013-12-01T00:00:00.000Z,353732
2014-01-01T00:00:00.000Z,357860
2014-02-01T00:00:00.000Z,361055
2014-03-01T00:00:00.000Z,364243
2014-04-01T00:00:00.000Z,367550
2014-05-01T00:00:00.000Z,371304
2014-06-01T00:00:00.000Z,375973
2014-07-01T00:00:00.000Z,381617
2014-08-01T00:00:00.000Z,388076
2014-09-01T00:00:00.000Z,394217
2014-10-01T00:00:00.000Z,400242
2014-11-01T00:00:00.000Z,406402
2014-12-01T00:00:00.000Z,412418
2015-01-01T00:00:00.000Z,418712
2015-02-01T00:00:00.000Z,423798
2015-03-01T00:00:00.000Z,429677
2015-04-01T00:00:00.000Z,436573
2015-05-01T00:00:00.000Z,442515
2015-06-01T00:00:00.000Z,448797
2015-07-01T00:00:00.000Z,455492
2015-08-01T00:00:00.000Z,461259
2015-09-01T00:00:00.000Z,466723
2015-10-01T00:00:00.000Z,472054
2015-11-01T00:00:00.000Z,477459
2015-12-01T00:00:00.000Z,482546
2016-01-01T00:00:00.000Z,488262
2016-02-01T00:00:00.000Z,492886
2016-03-01T00:00:00.000Z,497816
2016-04-01T00:00:00.000Z,502347
2016-05-01T00:00:00.000Z,508161
2016-06-01T00:00:00.000Z,513293
2016-07-01T00:00:00.000Z,519647
2016-08-01T00:00:00.000Z,525548
2016-09-01T00:00:00.000Z,533100
2016-10-01T00:00:00.000Z,541171
2016-11-01T00:00:00.000Z,548537
2016-12-01T00:00:00.000Z,555248
2017-01-01T00:00:00.000Z,563767
2017-02-01T00:00:00.000Z,570624
2017-03-01T00:00:00.000Z,577806
2017-04-01T00:00:00.000Z,584792
2017-05-01T00:00:00.000Z,590815
2017-06-01T00:00:00.000Z,597531
2017-07-01T00:00:00.000Z,604790
2017-08-01T00:00:00.000Z,612109
2017-09-01T00:00:00.000Z,619677
2017-10-01T00:00:00.000Z,626806
2017-11-01T00:00:00.000Z,634944
2017-12-01T00:00:00.000Z,643081
2018-01-01T00:00:00.000Z,650861
2018-02-01T00:00:00.000Z,658826
2018-03-01T00:00:00.000Z,666200
2018-04-01T00:00:00.000Z,674327
2018-05-01T00:00:00.000Z,683126
2018-06-01T00:00:00.000Z,691846
2018-07-01T00:00:00.000Z,702406
2018-08-01T00:00:00.000Z,715135
2018-09-01T00:00:00.000Z,728219
2018-10-01T00:00:00.000Z,739884
2018-11-01T00:00:00.000Z,750446
2018-12-01T00:00:00.000Z,761836
2019-01-01T00:00:00.000Z,771738
2019-02-01T00:00:00.000Z,780514
