month,total.total
2001-01-01T00:00:00.000Z,0
2001-02-01T00:00:00.000Z,0
2001-03-01T00:00:00.000Z,0
2001-04-01T00:00:00.000Z,0
2001-05-01T00:00:00.000Z,0
2001-06-01T00:00:00.000Z,0
2001-07-01T00:00:00.000Z,0
2001-08-01T00:00:00.000Z,0
2001-09-01T00:00:00.000Z,0
2001-10-01T00:00:00.000Z,0
2001-11-01T00:00:00.000Z,0
2001-12-01T00:00:00.000Z,0
2002-01-01T00:00:00.000Z,0
2002-02-01T00:00:00.000Z,0
2002-03-01T00:00:00.000Z,0
2002-04-01T00:00:00.000Z,0
2002-05-01T00:00:00.000Z,0
2002-06-01T00:00:00.000Z,0
2002-07-01T00:00:00.000Z,0
2002-08-01T00:00:00.000Z,0
2002-09-01T00:00:00.000Z,0
2002-10-01T00:00:00.000Z,0
2002-11-01T00:00:00.000Z,0
2002-12-01T00:00:00.000Z,0
2003-01-01T00:00:00.000Z,0
2003-02-01T00:00:00.000Z,0
2003-03-01T00:00:00.000Z,0
2003-04-01T00:00:00.000Z,0
2003-05-01T00:00:00.000Z,0
2003-06-01T00:00:00.000Z,0
2003-07-01T00:00:00.000Z,0
2003-08-01T00:00:00.000Z,0
2003-09-01T00:00:00.000Z,1
2003-10-01T00:00:00.000Z,2
2003-11-01T00:00:00.000Z,13
2003-12-01T00:00:00.000Z,69
2004-01-01T00:00:00.000Z,138
2004-02-01T00:00:00.000Z,203
2004-03-01T00:00:00.000Z,277
2004-04-01T00:00:00.000Z,323
2004-05-01T00:00:00.000Z,484
2004-06-01T00:00:00.000Z,515
2004-07-01T00:00:00.000Z,561
2004-08-01T00:00:00.000Z,569
2004-09-01T00:00:00.000Z,587
2004-10-01T00:00:00.000Z,617
2004-11-01T00:00:00.000Z,645
2004-12-01T00:00:00.000Z,693
2005-01-01T00:00:00.000Z,699
2005-02-01T00:00:00.000Z,715
2005-03-01T00:00:00.000Z,773
2005-04-01T00:00:00.000Z,1091
2005-05-01T00:00:00.000Z,1258
2005-06-01T00:00:00.000Z,1394
2005-07-01T00:00:00.000Z,1639
2005-08-01T00:00:00.000Z,2013
2005-09-01T00:00:00.000Z,2458
2005-10-01T00:00:00.000Z,2796
2005-11-01T00:00:00.000Z,3021
2005-12-01T00:00:00.000Z,3369
2006-01-01T00:00:00.000Z,3724
2006-02-01T00:00:00.000Z,4085
2006-03-01T00:00:00.000Z,4543
2006-04-01T00:00:00.000Z,4952
2006-05-01T00:00:00.000Z,5429
2006-06-01T00:00:00.000Z,6101
2006-07-01T00:00:00.000Z,7101
2006-08-01T00:00:00.000Z,8182
2006-09-01T00:00:00.000Z,9123
2006-10-01T00:00:00.000Z,10119
2006-11-01T00:00:00.000Z,11037
2006-12-01T00:00:00.000Z,11702
2007-01-01T00:00:00.000Z,12921
2007-02-01T00:00:00.000Z,13848
2007-03-01T00:00:00.000Z,15962
2007-04-01T00:00:00.000Z,17887
2007-05-01T00:00:00.000Z,18897
2007-06-01T00:00:00.000Z,19334
2007-07-01T00:00:00.000Z,19740
2007-08-01T00:00:00.000Z,20364
2007-09-01T00:00:00.000Z,21442
2007-10-01T00:00:00.000Z,22254
2007-11-01T00:00:00.000Z,22936
2007-12-01T00:00:00.000Z,23524
2008-01-01T00:00:00.000Z,24190
2008-02-01T00:00:00.000Z,25012
2008-03-01T00:00:00.000Z,25804
2008-04-01T00:00:00.000Z,26543
2008-05-01T00:00:00.000Z,27400
2008-06-01T00:00:00.000Z,28203
2008-07-01T00:00:00.000Z,29026
2008-08-01T00:00:00.000Z,30059
2008-09-01T00:00:00.000Z,30887
2008-10-01T00:00:00.000Z,31570
2008-11-01T00:00:00.000Z,32215
2008-12-01T00:00:00.000Z,32959
2009-01-01T00:00:00.000Z,33615
2009-02-01T00:00:00.000Z,34410
2009-03-01T00:00:00.000Z,35389
2009-04-01T00:00:00.000Z,36459
2009-05-01T00:00:00.000Z,37006
2009-06-01T00:00:00.000Z,37845
2009-07-01T00:00:00.000Z,38793
2009-08-01T00:00:00.000Z,39558
2009-09-01T00:00:00.000Z,40269
2009-10-01T00:00:00.000Z,41116
2009-11-01T00:00:00.000Z,41903
2009-12-01T00:00:00.000Z,42720
2010-01-01T00:00:00.000Z,43582
2010-02-01T00:00:00.000Z,44385
2010-03-01T00:00:00.000Z,45297
2010-04-01T00:00:00.000Z,46472
2010-05-01T00:00:00.000Z,47278
2010-06-01T00:00:00.000Z,48572
2010-07-01T00:00:00.000Z,50507
2010-08-01T00:00:00.000Z,51944
2010-09-01T00:00:00.000Z,53345
2010-10-01T00:00:00.000Z,54952
2010-11-01T00:00:00.000Z,56136
2010-12-01T00:00:00.000Z,57450
2011-01-01T00:00:00.000Z,59387
2011-02-01T00:00:00.000Z,61495
2011-03-01T00:00:00.000Z,63484
2011-04-01T00:00:00.000Z,65869
2011-05-01T00:00:00.000Z,68603
2011-06-01T00:00:00.000Z,70817
2011-07-01T00:00:00.000Z,73215
2011-08-01T00:00:00.000Z,75922
2011-09-01T00:00:00.000Z,78365
2011-10-01T00:00:00.000Z,81505
2011-11-01T00:00:00.000Z,84233
2011-12-01T00:00:00.000Z,86250
2012-01-01T00:00:00.000Z,88439
2012-02-01T00:00:00.000Z,90141
2012-03-01T00:00:00.000Z,91850
2012-04-01T00:00:00.000Z,93291
2012-05-01T00:00:00.000Z,95017
2012-06-01T00:00:00.000Z,96718
2012-07-01T00:00:00.000Z,98543
2012-08-01T00:00:00.000Z,99937
2012-09-01T00:00:00.000Z,101338
2012-10-01T00:00:00.000Z,102818
2012-11-01T00:00:00.000Z,104203
2012-12-01T00:00:00.000Z,105755
2013-01-01T00:00:00.000Z,107488
2013-02-01T00:00:00.000Z,108943
2013-03-01T00:00:00.000Z,110778
2013-04-01T00:00:00.000Z,112982
2013-05-01T00:00:00.000Z,115349
2013-06-01T00:00:00.000Z,117141
2013-07-01T00:00:00.000Z,119162
2013-08-01T00:00:00.000Z,121376
2013-09-01T00:00:00.000Z,123452
2013-10-01T00:00:00.000Z,130125
2013-11-01T00:00:00.000Z,132673
2013-12-01T00:00:00.000Z,135293
2014-01-01T00:00:00.000Z,137633
2014-02-01T00:00:00.000Z,139354
2014-03-01T00:00:00.000Z,141010
2014-04-01T00:00:00.000Z,142322
2014-05-01T00:00:00.000Z,143814
2014-06-01T00:00:00.000Z,145488
2014-07-01T00:00:00.000Z,147446
2014-08-01T00:00:00.000Z,149162
2014-09-01T00:00:00.000Z,150805
2014-10-01T00:00:00.000Z,153084
2014-11-01T00:00:00.000Z,154856
2014-12-01T00:00:00.000Z,156879
2015-01-01T00:00:00.000Z,159241
2015-02-01T00:00:00.000Z,160931
2015-03-01T00:00:00.000Z,162800
2015-04-01T00:00:00.000Z,163984
2015-05-01T00:00:00.000Z,164869
2015-06-01T00:00:00.000Z,166687
2015-07-01T00:00:00.000Z,169788
2015-08-01T00:00:00.000Z,172891
2015-09-01T00:00:00.000Z,175962
2015-10-01T00:00:00.000Z,179673
2015-11-01T00:00:00.000Z,195516
2015-12-01T00:00:00.000Z,198249
2016-01-01T00:00:00.000Z,201624
2016-02-01T00:00:00.000Z,204054
2016-03-01T00:00:00.000Z,206451
2016-04-01T00:00:00.000Z,208449
2016-05-01T00:00:00.000Z,210086
2016-06-01T00:00:00.000Z,212435
2016-07-01T00:00:00.000Z,215027
2016-08-01T00:00:00.000Z,217267
2016-09-01T00:00:00.000Z,219050
2016-10-01T00:00:00.000Z,220845
2016-11-01T00:00:00.000Z,222614
2016-12-01T00:00:00.000Z,224401
2017-01-01T00:00:00.000Z,229203
2017-02-01T00:00:00.000Z,231090
2017-03-01T00:00:00.000Z,233894
2017-04-01T00:00:00.000Z,244831
2017-05-01T00:00:00.000Z,250896
2017-06-01T00:00:00.000Z,257567
2017-07-01T00:00:00.000Z,271082
2017-08-01T00:00:00.000Z,273732
2017-09-01T00:00:00.000Z,275498
2017-10-01T00:00:00.000Z,277400
2017-11-01T00:00:00.000Z,279813
2017-12-01T00:00:00.000Z,282318
2018-01-01T00:00:00.000Z,284846
2018-02-01T00:00:00.000Z,288222
2018-03-01T00:00:00.000Z,290364
2018-04-01T00:00:00.000Z,292501
2018-05-01T00:00:00.000Z,295641
2018-06-01T00:00:00.000Z,297801
2018-07-01T00:00:00.000Z,300072
2018-08-01T00:00:00.000Z,302797
2018-09-01T00:00:00.000Z,305306
2018-10-01T00:00:00.000Z,307780
2018-11-01T00:00:00.000Z,310161
2018-12-01T00:00:00.000Z,312862
2019-01-01T00:00:00.000Z,316759
2019-02-01T00:00:00.000Z,319968
