month,total.total
2001-01-01T00:00:00.000Z,0
2001-02-01T00:00:00.000Z,0
2001-03-01T00:00:00.000Z,0
2001-04-01T00:00:00.000Z,0
2001-05-01T00:00:00.000Z,0
2001-06-01T00:00:00.000Z,0
2001-07-01T00:00:00.000Z,0
2001-08-01T00:00:00.000Z,0
2001-09-01T00:00:00.000Z,0
2001-10-01T00:00:00.000Z,0
2001-11-01T00:00:00.000Z,0
2001-12-01T00:00:00.000Z,0
2002-01-01T00:00:00.000Z,0
2002-02-01T00:00:00.000Z,0
2002-03-01T00:00:00.000Z,0
2002-04-01T00:00:00.000Z,0
2002-05-01T00:00:00.000Z,0
2002-06-01T00:00:00.000Z,0
2002-07-01T00:00:00.000Z,0
2002-08-01T00:00:00.000Z,0
2002-09-01T00:00:00.000Z,0
2002-10-01T00:00:00.000Z,0
2002-11-01T00:00:00.000Z,0
2002-12-01T00:00:00.000Z,0
2003-01-01T00:00:00.000Z,0
2003-02-01T00:00:00.000Z,0
2003-03-01T00:00:00.000Z,0
2003-04-01T00:00:00.000Z,0
2003-05-01T00:00:00.000Z,0
2003-06-01T00:00:00.000Z,1
2003-07-01T00:00:00.000Z,1
2003-08-01T00:00:00.000Z,1
2003-09-01T00:00:00.000Z,1
2003-10-01T00:00:00.000Z,1
2003-11-01T00:00:00.000Z,1
2003-12-01T00:00:00.000Z,3
2004-01-01T00:00:00.000Z,6
2004-02-01T00:00:00.000Z,12
2004-03-01T00:00:00.000Z,17
2004-04-01T00:00:00.000Z,24
2004-05-01T00:00:00.000Z,370
2004-06-01T00:00:00.000Z,371
2004-07-01T00:00:00.000Z,380
2004-08-01T00:00:00.000Z,395
2004-09-01T00:00:00.000Z,401
2004-10-01T00:00:00.000Z,404
2004-11-01T00:00:00.000Z,426
2004-12-01T00:00:00.000Z,551
2005-01-01T00:00:00.000Z,641
2005-02-01T00:00:00.000Z,653
2005-03-01T00:00:00.000Z,664
2005-04-01T00:00:00.000Z,704
2005-05-01T00:00:00.000Z,786
2005-06-01T00:00:00.000Z,1181
2005-07-01T00:00:00.000Z,1529
2005-08-01T00:00:00.000Z,2024
2005-09-01T00:00:00.000Z,2655
2005-10-01T00:00:00.000Z,3031
2005-11-01T00:00:00.000Z,3454
2005-12-01T00:00:00.000Z,3884
2006-01-01T00:00:00.000Z,4612
2006-02-01T00:00:00.000Z,5111
2006-03-01T00:00:00.000Z,5300
2006-04-01T00:00:00.000Z,6853
2006-05-01T00:00:00.000Z,7039
2006-06-01T00:00:00.000Z,7199
2006-07-01T00:00:00.000Z,7417
2006-08-01T00:00:00.000Z,9583
2006-09-01T00:00:00.000Z,20193
2006-10-01T00:00:00.000Z,27330
2006-11-01T00:00:00.000Z,30564
2006-12-01T00:00:00.000Z,32231
2007-01-01T00:00:00.000Z,32871
2007-02-01T00:00:00.000Z,33438
2007-03-01T00:00:00.000Z,34337
2007-04-01T00:00:00.000Z,34963
2007-05-01T00:00:00.000Z,40537
2007-06-01T00:00:00.000Z,46305
2007-07-01T00:00:00.000Z,48122
2007-08-01T00:00:00.000Z,51873
2007-09-01T00:00:00.000Z,53315
2007-10-01T00:00:00.000Z,54921
2007-11-01T00:00:00.000Z,55783
2007-12-01T00:00:00.000Z,56734
2008-01-01T00:00:00.000Z,58565
2008-02-01T00:00:00.000Z,61397
2008-03-01T00:00:00.000Z,62835
2008-04-01T00:00:00.000Z,63687
2008-05-01T00:00:00.000Z,64719
2008-06-01T00:00:00.000Z,65733
2008-07-01T00:00:00.000Z,66619
2008-08-01T00:00:00.000Z,67282
2008-09-01T00:00:00.000Z,67920
2008-10-01T00:00:00.000Z,68715
2008-11-01T00:00:00.000Z,69345
2008-12-01T00:00:00.000Z,71738
2009-01-01T00:00:00.000Z,72985
2009-02-01T00:00:00.000Z,73835
2009-03-01T00:00:00.000Z,74563
2009-04-01T00:00:00.000Z,75228
2009-05-01T00:00:00.000Z,75974
2009-06-01T00:00:00.000Z,76845
2009-07-01T00:00:00.000Z,77468
2009-08-01T00:00:00.000Z,78093
2009-09-01T00:00:00.000Z,78489
2009-10-01T00:00:00.000Z,78986
2009-11-01T00:00:00.000Z,79584
2009-12-01T00:00:00.000Z,79955
2010-01-01T00:00:00.000Z,80336
2010-02-01T00:00:00.000Z,80650
2010-03-01T00:00:00.000Z,81047
2010-04-01T00:00:00.000Z,81419
2010-05-01T00:00:00.000Z,81809
2010-06-01T00:00:00.000Z,82350
2010-07-01T00:00:00.000Z,82803
2010-08-01T00:00:00.000Z,83293
2010-09-01T00:00:00.000Z,83793
2010-10-01T00:00:00.000Z,84395
2010-11-01T00:00:00.000Z,85334
2010-12-01T00:00:00.000Z,86056
2011-01-01T00:00:00.000Z,86737
2011-02-01T00:00:00.000Z,87312
2011-03-01T00:00:00.000Z,87737
2011-04-01T00:00:00.000Z,88118
2011-05-01T00:00:00.000Z,88605
2011-06-01T00:00:00.000Z,89189
2011-07-01T00:00:00.000Z,89748
2011-08-01T00:00:00.000Z,90257
2011-09-01T00:00:00.000Z,90920
2011-10-01T00:00:00.000Z,91401
2011-11-01T00:00:00.000Z,92113
2011-12-01T00:00:00.000Z,92747
2012-01-01T00:00:00.000Z,93596
2012-02-01T00:00:00.000Z,94572
2012-03-01T00:00:00.000Z,95481
2012-04-01T00:00:00.000Z,96396
2012-05-01T00:00:00.000Z,97062
2012-06-01T00:00:00.000Z,97619
2012-07-01T00:00:00.000Z,98262
2012-08-01T00:00:00.000Z,98921
2012-09-01T00:00:00.000Z,99260
2012-10-01T00:00:00.000Z,99856
2012-11-01T00:00:00.000Z,100380
2012-12-01T00:00:00.000Z,101048
2013-01-01T00:00:00.000Z,101756
2013-02-01T00:00:00.000Z,102426
2013-03-01T00:00:00.000Z,103425
2013-04-01T00:00:00.000Z,105046
2013-05-01T00:00:00.000Z,106947
2013-06-01T00:00:00.000Z,108112
2013-07-01T00:00:00.000Z,109168
2013-08-01T00:00:00.000Z,110197
2013-09-01T00:00:00.000Z,111702
2013-10-01T00:00:00.000Z,113434
2013-11-01T00:00:00.000Z,114754
2013-12-01T00:00:00.000Z,116453
2014-01-01T00:00:00.000Z,118099
2014-02-01T00:00:00.000Z,119660
2014-03-01T00:00:00.000Z,121660
2014-04-01T00:00:00.000Z,122724
2014-05-01T00:00:00.000Z,123771
2014-06-01T00:00:00.000Z,125128
2014-07-01T00:00:00.000Z,126520
2014-08-01T00:00:00.000Z,128317
2014-09-01T00:00:00.000Z,129667
2014-10-01T00:00:00.000Z,131199
2014-11-01T00:00:00.000Z,132767
2014-12-01T00:00:00.000Z,136154
2015-01-01T00:00:00.000Z,140592
2015-02-01T00:00:00.000Z,142965
2015-03-01T00:00:00.000Z,149392
2015-04-01T00:00:00.000Z,157648
2015-05-01T00:00:00.000Z,159878
2015-06-01T00:00:00.000Z,160842
2015-07-01T00:00:00.000Z,162306
2015-08-01T00:00:00.000Z,164391
2015-09-01T00:00:00.000Z,165772
2015-10-01T00:00:00.000Z,166945
2015-11-01T00:00:00.000Z,168003
2015-12-01T00:00:00.000Z,169114
2016-01-01T00:00:00.000Z,170450
2016-02-01T00:00:00.000Z,171255
2016-03-01T00:00:00.000Z,172251
2016-04-01T00:00:00.000Z,172923
2016-05-01T00:00:00.000Z,173741
2016-06-01T00:00:00.000Z,174419
2016-07-01T00:00:00.000Z,175427
2016-08-01T00:00:00.000Z,177622
2016-09-01T00:00:00.000Z,178667
2016-10-01T00:00:00.000Z,179812
2016-11-01T00:00:00.000Z,180860
2016-12-01T00:00:00.000Z,181885
2017-01-01T00:00:00.000Z,182802
2017-02-01T00:00:00.000Z,183470
2017-03-01T00:00:00.000Z,184400
2017-04-01T00:00:00.000Z,185173
2017-05-01T00:00:00.000Z,186005
2017-06-01T00:00:00.000Z,186867
2017-07-01T00:00:00.000Z,187794
2017-08-01T00:00:00.000Z,188669
2017-09-01T00:00:00.000Z,190391
2017-10-01T00:00:00.000Z,191391
2017-11-01T00:00:00.000Z,192446
2017-12-01T00:00:00.000Z,193469
2018-01-01T00:00:00.000Z,194670
2018-02-01T00:00:00.000Z,195627
2018-03-01T00:00:00.000Z,196753
2018-04-01T00:00:00.000Z,198544
2018-05-01T00:00:00.000Z,200311
2018-06-01T00:00:00.000Z,201611
2018-07-01T00:00:00.000Z,203105
2018-08-01T00:00:00.000Z,204774
2018-09-01T00:00:00.000Z,206200
2018-10-01T00:00:00.000Z,207772
2018-11-01T00:00:00.000Z,209413
2018-12-01T00:00:00.000Z,210788
2019-01-01T00:00:00.000Z,213005
2019-02-01T00:00:00.000Z,214206
